iter	Passed	Remaining
727	882	329
728	882	328
729	883	326
730	884	325
731	885	324
732	886	322
733	887	321
734	888	320
735	889	319
736	890	317
737	891	316
738	892	315
739	893	313
740	894	312
741	895	311
742	896	310
743	897	308
744	898	307
745	899	306
746	899	304
747	900	303
748	901	302
749	902	300
750	903	299
751	905	298
752	905	297
753	906	295
754	907	294
755	908	293
756	909	291
757	910	290
758	911	289
759	912	288
760	913	286
761	914	285
762	915	284
763	916	282
764	916	281
765	917	280
766	919	279
767	920	277
768	921	276
769	921	275
770	922	274
771	923	272
772	924	271
773	925	270
774	926	269
775	927	267
776	928	266
777	929	265
778	930	263
779	931	262
780	932	261
781	933	260
782	934	258
783	935	257
784	936	256
785	937	255
786	937	253
787	938	252
788	939	251
789	940	250
790	941	248
791	942	247
792	943	246
793	944	245
794	945	243
795	946	242
796	947	241
797	948	240
798	949	238
799	950	237
800	951	236
801	952	235
802	953	233
803	954	232
804	955	231
805	956	230
806	957	228
807	957	227
808	958	226
809	959	225
810	960	223
811	961	222
812	962	221
813	963	220
814	964	219
815	965	217
816	966	216
817	967	215
818	968	214
819	969	212
820	970	211
821	971	210
822	972	209
823	973	207
824	974	206
825	975	205
826	976	204
827	977	202
828	978	201
829	979	200
830	980	199
831	981	198
832	982	196
833	982	195
834	983	194
835	984	193
836	985	191
837	986	190
838	987	189
839	988	188
840	989	187
841	990	185
842	990	184
843	991	183
844	992	182
845	993	180
846	994	179
847	995	178
848	996	177
849	997	176
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1002	169
855	1003	168
856	1004	167
857	1004	166
858	1005	165
859	1006	163
860	1007	162
861	1008	161
862	1009	160
863	1010	159
864	1011	157
865	1012	156
866	1013	155
867	1014	154
868	1014	152
869	1015	151
870	1016	150
871	1017	149
872	1018	148
873	1019	146
874	1020	145
875	1021	144
876	1022	143
877	1023	142
878	1024	141
879	1025	139
880	1026	138
881	1027	137
882	1028	136
883	1029	135
884	1030	133
885	1031	132
886	1031	131
887	1032	130
888	1033	129
889	1034	127
890	1035	126
891	1036	125
892	1037	124
893	1038	123
894	1039	121
895	1041	120
896	1042	119
897	1042	118
898	1043	117
899	1044	116
900	1045	114
901	1046	113
902	1047	112
903	1048	111
904	1049	110
905	1050	108
906	1050	107
907	1051	106
908	1053	105
909	1054	104
910	1055	103
911	1056	101
912	1057	100
913	1058	99
914	1058	98
915	1059	97
916	1060	96
917	1061	94
918	1062	93
919	1063	92
920	1064	91
921	1065	90
922	1066	88
923	1067	87
924	1068	86
925	1069	85
926	1070	84
927	1071	83
928	1072	81
929	1073	80
930	1074	79
931	1074	78
932	1075	77
933	1076	76
934	1077	74
935	1078	73
936	1079	72
937	1080	71
938	1081	70
939	1082	69
940	1083	67
941	1084	66
942	1085	65
943	1086	64
944	1087	63
945	1088	62
946	1089	60
947	1090	59
948	1091	58
949	1092	57
950	1093	56
951	1093	55
952	1094	53
953	1095	52
954	1096	51
955	1097	50
956	1098	49
957	1099	48
958	1100	47
959	1101	45
960	1102	44
961	1103	43
962	1104	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1109	36
968	1109	35
969	1110	34
970	1111	33
971	1112	32
972	1113	30
973	1115	29
974	1116	28
975	1117	27
976	1117	26
977	1118	25
